file_id,review_textgrid,out_csv,n_review_intervals,error
EUS32-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS32-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EUS32-ST1_vad_classifier.csv,0,
EUS32-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS32-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\EUS32-ST2_vad_classifier.csv,2,
IID15-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID15-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID15-ST1_vad_classifier.csv,1,
IID15-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID15-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID15-ST2_vad_classifier.csv,6,
IID22-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID22-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID22-ST1_vad_classifier.csv,1,
IID22-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID22-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID22-ST2_vad_classifier.csv,2,
IID35-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID35-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID35-ST1_vad_classifier.csv,1,
IID35-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID35-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID35-ST2_vad_classifier.csv,0,
IID40-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID40-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID40-ST1_vad_classifier.csv,1,
IID40-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID40-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID40-ST2_vad_classifier.csv,2,
IID41-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID41-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID41-ST1_vad_classifier.csv,2,
IID41-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID41-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\IID41-ST2_vad_classifier.csv,1,
KKD19-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD19-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD19-ST1_vad_classifier.csv,0,
KKD19-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD19-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD19-ST2_vad_classifier.csv,0,
KKD27-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD27-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD27-ST1_vad_classifier.csv,0,
KKD27-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD27-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD27-ST2_vad_classifier.csv,0,
KKD46-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD46-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD46-ST1_vad_classifier.csv,1,
KKD46-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD46-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKD46-ST2_vad_classifier.csv,2,
KKR24-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR24-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKR24-ST1_vad_classifier.csv,2,
KKR24-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR24-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKR24-ST2_vad_classifier.csv,2,
KKR40-ST1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR40-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKR40-ST1_vad_classifier.csv,2,
KKR40-ST2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR40-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates_from_review_tier_t050\KKR40-ST2_vad_classifier.csv,1,
