File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  coordinated_vp            | and put the bottle into the trash
  coordinated_vp            | but he didn't see that from the liquid
  subordinate_acl:relcl     | a dragon formed out
  subordinate_advcl         | while he was going to his home
File: ALL_002_F_HEB_ENG_ST1.TextGrid
Clauses: 47
  independent               | one day fuzzy the bird was walking in the garden
  coordinated_vp            | and he found a hat
  subordinate_ccomp         | what a lovely hat he found
  parataxis                 | he thought
  coordinated_vp            | and he took the hat
  coordinated_vp            | and tried it on the hat fit perfectly
  coordinated_vp            | but covered his eyes just a little bit suddenly
  parataxis                 | he came across a bird
  parataxis                 | the bird looked at fuzzy with the hat
  coordinated_vp            | and suddenly lay on the ground
  coordinated_vp            | and started laughing
  subordinate_ccomp         | you look so ridiculous in that hat
  parataxis                 | she said
  subordinate_ccomp         | she made fun of him for an hour
  subordinate_advcl         | until he got really mad
  subordinate_ccomp         | took the hat off
  coordinated_vp            | and went away
  subordinate_acl:relcl     | the bird whose only intention was to make fuzzy
  nonfinite_xcomp           | give up his hat
  subordinate_advcl         | so she could have it
  subordinate_advcl         | was very happy
  coordinated_vp            | and she took the hat with her
  parataxis                 | she put it in a tree
  nonfinite_xcomp           | and decided to use it
  subordinate_advcl         | so she could hatch her eggs
  parataxis                 | she sat in the tree for a while
  coordinated_vp            | and hatched an egg
  parataxis                 | little did she know
  subordinate_advcl         | that fuzzy the bird was watching from a far away suddenly
  parataxis                 | he realized
  subordinate_ccomp         | that the bird had only made fun of him
  subordinate_advcl         | in order that she could take the hat
  subordinate_advcl         | so he jumped up
  coordinated_vp            | and grabbed the hat from the bird
  parataxis                 | and the bird was very surprised
  coordinated_vp            | and very alarmed and she flew up and started
  nonfinite_xcomp           | yelling at fuzzy
  parataxis                 | fuzzy took the hat
  coordinated_vp            | and put it right back on his head
  coordinated_vp            | and suddenly he felt a very strange feeling on the top of hi
  parataxis                 | he felt something
  subordinate_acl           | moving inside his hair
  coordinated_vp            | he took off the hat
  parataxis                 | and discovered
  subordinate_ccomp         | that that the chicken had hatched inside from the inside the
  subordinate_acl:relcl     | that was inside the hat
  coordinated_vp            | and he had a newborn chick on his head
File: ALL_002_F_HEB_ENG_ST2.TextGrid
Clauses: 33
  independent               | there once was a boy
  subordinate_acl           | named dan
  parataxis                 | he had a magical soap balloon machine
  parataxis                 | he liked
  nonfinite_xcomp           | to play with his magical soap balloon machine
  coordinated_vp            | and he would sit under the tree
  coordinated_vp            | and make balloons with his mouth
  parataxis                 | he would make
  subordinate_ccomp         | all kinds of things come out of the balloons
  parataxis                 | one day he was making a very long balloon
  subordinate_acl:relcl     | which turned suddenly out to be a snake
  parataxis                 | dan was very alarmed by the snake
  subordinate_advcl         | so he quickly made a new balloon
  subordinate_acl:relcl     | that would scare the snake away
  parataxis                 | he made a huge tiger
  coordinated_vp            | and the tiger chased the snake away
  coordinated_vp            | but then dan became very alarmed by the tiger
  subordinate_advcl         | so he quickly made a huge balloon
  subordinate_acl:relcl     | that turned into an elephant
  coordinated_vp            | and the elephant chased the tiger away
  parataxis                 | dan decided
  subordinate_ccomp         | he didn't want the elephant by his side anymore
  subordinate_advcl         | so he made a tiny rat
  subordinate_acl:relcl     | that for some reason scared the elephant away
  parataxis                 | dan continued
  nonfinite_xcomp           | to play with his magical balloons all afternoon
  subordinate_advcl         | until he became bored and
  coordinated_vp            | he threw the rest of his soap balloons onto the ground
  nonfinite_xcomp           | and decided to go home
  parataxis                 | he walked away from the garden
  coordinated_vp            | and he didn't notice
  subordinate_ccomp         | that behind him from the soap balloons suddenly formed a big
  subordinate_acl:relcl     | that chased him all the way home
File: ALL_003_F_RUS_ENG_ST1.TextGrid
Clauses: 100
  independent               | one day jimmy was walking in the forest
  parataxis                 | jimmy has lived in the forest for quite a long time for two 
  coordinated_vp            | but he never found anything interesting there
  parataxis                 | but this day was an exception
  parataxis                 | jimmy found a black hat
  parataxis                 | it was a cylinder
  subordinate_advcl         | so at first it interested him extremely
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to pick it up
  coordinated_vp            | and try it on
  subordinate_advcl         | and though he didn't have any mirror around him
  parataxis                 | he was able
  nonfinite_xcomp           | to find a pond
  subordinate_advcl         | to see
  subordinate_ccomp         | how it looks like
  coordinated_vp            | and he liked it
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to keep it after all
  parataxis                 | everyone should take care about his image right
  subordinate_advcl         | so he put on the hat
  nonfinite_xcomp           | and kept walking through the forest
  parataxis                 | he wanted other inhabitants
  nonfinite_xcomp           | to see him
  coordinated_vp            | and greet him
  coordinated_vp            | and also to see
  subordinate_ccomp         | what cool hat he got
  subordinate_advcl         | and walking by this fashion
  coordinated_vp            | he met his old friend penny
  coordinated_vp            | and penny saw
  subordinate_ccomp         | him wearing this hat this big cylinder
  parataxis                 | and it was big enough
  subordinate_advcl         | that it covered half of his head and all of his forehead
  parataxis                 | she started
  nonfinite_xcomp           | laughing at him
  subordinate_advcl         | make fun of him
  coordinated_vp            | and ridicule him
  parataxis                 | so the end he got offended
  coordinated_vp            | and he took off his hat
  coordinated_vp            | and threw it away
  subordinate_advcl         | because he just couldn't take it any longer
  coordinated_vp            | but penny did what
  subordinate_acl:relcl     | she wanted to do
  parataxis                 | she took fancy in this hat almost immediately
  parataxis                 | and that was her plan
  subordinate_acl           | to make jimmy the bird
  nonfinite_xcomp           | get rid of this hat
  subordinate_advcl         | so when jimmy left
  parataxis                 | she took the hat
  coordinated_vp            | and went home
  parataxis                 | she finally found what
  subordinate_acl:relcl     | she's been looking for such a long time
  subordinate_advcl         | because it was a time
  subordinate_acl           | to have babies now
  coordinated_vp            | but she couldn't quite decide
  parataxis                 | where her nest will be
  subordinate_advcl         | so when she found the cylinder
  parataxis                 | it was so convenient for her
  subordinate_csubj         | to have a nest now
  subordinate_advcl         | after a while jimmy accidentally saw her
  parataxis                 | and he was furious
  subordinate_advcl         | because he finally understood
  subordinate_ccomp         | that penny made fun of him
  subordinate_advcl         | not because the head was funny
  coordinated_vp            | but because she wanted him
  nonfinite_xcomp           | to get rid of it
  subordinate_advcl         | so she could have it
  subordinate_advcl         | so it occurred to him all at once
  coordinated_vp            | and he felt very frustrated
  parataxis                 | and was determined
  nonfinite_xcomp           | to get it back
  subordinate_advcl         | so he went to the place
  subordinate_acl:relcl     | where penny sat
  coordinated_vp            | and took the cylinder from her
  parataxis                 | she took by surprise
  parataxis                 | she never expected anybody
  parataxis                 | jimmy looked angry and he really wasn't one
  subordinate_acl           | to argue with
  subordinate_advcl         | so he just took his head
  coordinated_vp            | and put it on
  parataxis                 | but what happened
  coordinated_vp            | is that there was already a baby in the nest penny's baby
  coordinated_vp            | and so jimmy felt
  subordinate_ccomp         | that there was something wrong
  subordinate_acl           | that he has something on his head and so
  subordinate_advcl         | when he took off the cylinder
  coordinated_vp            | it turned out that the little bird
  subordinate_acl:relcl     | who was crying mama
  subordinate_ccomp         | was sitting on his head
  subordinate_advcl         | of course he couldn't be angry anymore
  subordinate_ccomp         | seeing how penny was happy
  subordinate_advcl         | how she greeted him
  parataxis                 | how glad she was
  subordinate_acl:relcl     | and after all the cylinder that he found
  coordinated_vp            | served a very good purpose
  subordinate_advcl         | so though he felt frustrated at the moment
  coordinated_vp            | but nonetheless she got a baby and a good nest for that time
  coordinated_vp            | and now he's gonna have a hat
  parataxis                 | so that was a little story about the accident
  subordinate_acl:relcl     | that happened in the woods between jimmy and penny two frien
  parataxis                 | i'm done
File: ALL_003_F_RUS_ENG_ST2.TextGrid
Clauses: 95
  independent               | billy loved
  nonfinite_xcomp           | to go to the park
  subordinate_advcl         | to spend his time there
  coordinated_vp            | and his favorite occupation was to blow soap bubbles
  parataxis                 | he felt so peaceful
  coordinated_vp            | and nobody disturbed him
  subordinate_advcl         | so he was just blowing
  parataxis                 | and blowing and after all it was fun
  parataxis                 | so at first they were just bubbles small balls
  coordinated_vp            | but then he thought
  subordinate_advcl         | what if i try a little bit harder
  coordinated_vp            | and he tried to elaborate
  coordinated_vp            | and it turned out
  subordinate_ccomp         | that he could blow kangaroo
  subordinate_acl:relcl     | that is pretty exciting
  parataxis                 | billy thought
  subordinate_advcl         | what if i can make the same way almost anything
  subordinate_acl:relcl     | i want
  coordinated_vp            | and so he decided to try
  subordinate_advcl         | and whatever he tries to make
  coordinated_vp            | he always managed
  nonfinite_xcomp           | to do that
  coordinated_vp            | and so he had a cow and a sheep and a butterfly shoe caps an
  subordinate_acl:relcl     | he wanted
  parataxis                 | so that was really fun
  coordinated_vp            | but then he decided
  nonfinite_xcomp           | to try something different
  parataxis                 | he was blowing
  coordinated_vp            | and blowing and blowing bubble
  coordinated_vp            | and then it turned out
  subordinate_ccomp         | that he made a big serpent
  subordinate_ccomp         | the snake looked
  subordinate_advcl         | as if it were alive
  parataxis                 | and it was a little bit angry
  subordinate_advcl         | looking at billy
  coordinated_vp            | so billy decided
  subordinate_ccomp         | that he would make somebody else
  subordinate_acl           | to chase the serpent
  subordinate_advcl         | because the serpent looked unfriendly
  coordinated_vp            | and billy just wanted
  nonfinite_xcomp           | to make sure
  subordinate_ccomp         | that he's safe
  subordinate_advcl         | so he made an even bigger cat
  coordinated_vp            | and for a split second he felt afraid
  subordinate_ccomp         | what he has done
  parataxis                 | he did not expect himself being so good at this
  coordinated_vp            | so cat broke loose
  subordinate_advcl         | to chase the serpent
  parataxis                 | and serpent disappeared
  subordinate_advcl         | but then when billy recovered
  coordinated_vp            | he thought
  subordinate_advcl         | maybe if i could make a cat
  subordinate_ccomp         | i could make even something bigger like an elephant
  coordinated_vp            | and he did it
  coordinated_vp            | and how happy he felt
  subordinate_ccomp         | he loved elephants a lot
  coordinated_vp            | and now he had one of his own
  parataxis                 | it was big and white
  coordinated_vp            | and he started
  nonfinite_xcomp           | chasing the cat
  subordinate_advcl         | so after that the cat disappeared
  subordinate_advcl         | so billy was thinking
  subordinate_ccomp         | what else bigger than elephant he might make
  subordinate_advcl         | so to give elephant a competitor
  coordinated_vp            | but he could think of nothing
  coordinated_vp            | and so he just had
  nonfinite_xcomp           | to say to his friend
  subordinate_ccomp         | that he'll probably be the last and the most powerful animal
  subordinate_acl:relcl     | he would make
  coordinated_vp            | and so they had to part
  parataxis                 | they had
  nonfinite_xcomp           | to say goodbye
  parataxis                 | because none of their creations could be around him for any 
  subordinate_advcl         | because the wind was blowing
  subordinate_acl:relcl     | so everything he created
  subordinate_advcl         | inevitably was blown away
  parataxis                 | and the wind now was even stronger and so whatever
  subordinate_acl:relcl     | he wanted
  nonfinite_xcomp           | he tried
  coordinated_vp            | he could manage nothing
  subordinate_advcl         | so at the end he decided
  subordinate_ccomp         | he called this afternoon
  nonfinite_xcomp           | and decided to go home
  subordinate_advcl         | so he threw away the bubble soap
  coordinated_vp            | and walked home
  subordinate_acl:relcl     | but what he forgot
  parataxis                 | was the dragon
  subordinate_acl:relcl     | he made at the very beginning
  subordinate_acl:relcl     | who waited
  subordinate_advcl         | to see
  subordinate_advcl         | to tell him goodbye
  coordinated_vp            | and to play with him
  coordinated_vp            | but billy completely forgot about him
  coordinated_vp            | but he'll come to the park to the same spot next time
  coordinated_vp            | and they will play again the end
File: ALL_004_M_TUR_ENG_ST1.TextGrid
Clauses: 36
  independent               | there was this funnylooking hairy bird
  subordinate_acl:relcl     | who found a cylindrical hat on his way his home
  subordinate_advcl         | as it appears
  subordinate_ccomp         | he liked the hat
  coordinated_vp            | and he put the hat to his head
  subordinate_advcl         | while he was walking back his home
  independent               | he met another funnylooking longlegged bird
  parataxis                 | this second longlegged bird made fun of him
  parataxis                 | she laughed at him because of his appearance
  parataxis                 | with the hat on top of his head
  subordinate_advcl         | so being humiliated
  parataxis                 | the hairy bird left the hat down
  coordinated_vp            | and walked back angrily
  parataxis                 | the longlegged bird took the hat
  subordinate_acl:relcl     | that hairy bird left
  coordinated_vp            | and carried it back to his place
  coordinated_vp            | and placed it
  subordinate_advcl         | so that the hat would be her nest
  parataxis                 | she nested on the hat
  parataxis                 | she placed her eggs inside the hat
  coordinated_vp            | and sit on top of the hat
  parataxis                 | she used it as a home
  parataxis                 | the hairy bird saw
  subordinate_ccomp         | that the longlegged bird uses his hat as a nest
  coordinated_vp            | and he wanted
  nonfinite_xcomp           | to get his hat back
  subordinate_advcl         | so he went there
  coordinated_vp            | and took the hat immediately from the longlegged bird
  parataxis                 | he used force
  subordinate_advcl         | to take the hat back
  coordinated_vp            | and he placed the hat to his head
  subordinate_advcl         | immediately after placing the hat on his head
  parataxis                 | he realized
  subordinate_ccomp         | that there was one little child little birdie in the hat
  subordinate_acl:relcl     | who was right now sitting on top of his head
  subordinate_advcl         | so the longlegged bird laughed again for this situation
File: ALL_004_M_TUR_ENG_ST2.TextGrid
Clauses: 48
  independent               | there was this boy
  subordinate_acl           | sitting under a tree
  subordinate_advcl         | blowing bubbles
  subordinate_advcl         | and as he blew the bubbles
  coordinated_vp            | he realized
  subordinate_ccomp         | that he can blow them in various animal shapes
  parataxis                 | so at first he blew one in the shape of a kangaroo
  parataxis                 | then he started
  nonfinite_xcomp           | running around
  subordinate_advcl         | making bubbles at various shapes such as cars and birds and 
  parataxis                 | after that he stood at one point
  coordinated_vp            | and blew a bubble shaped snake
  coordinated_vp            | and the snake looked like an angry one
  subordinate_advcl         | so the snake looked
  subordinate_advcl         | like it would attack the boy
  parataxis                 | then he started blowing
  subordinate_advcl         | a bubble shaped a cat
  subordinate_advcl         | which scared off the snake
  coordinated_vp            | and made it
  nonfinite_xcomp           | go away
  parataxis                 | then after the cat the boy start
  nonfinite_xcomp           | started blowing
  subordinate_acl           | a bubble shaped an elephant
  subordinate_advcl         | which elephant made the cat scare away
  coordinated_vp            | and run away
  subordinate_advcl         | and then in order to get rid of the elephant
  coordinated_vp            | the boy had
  nonfinite_xcomp           | to blow a bubble
  subordinate_acl           | shaped a mouse
  parataxis                 | that tiny mouse scare away the big animal the big elephant
  coordinated_vp            | and made it
  nonfinite_xcomp           | run away
  subordinate_advcl         | so as they ran away
  subordinate_advcl         | all bubbles start
  nonfinite_xcomp           | to bursting in air
  coordinated_vp            | and they got lost in air
  subordinate_advcl         | so the boy being fed up
  subordinate_advcl         | with playing these bubbles
  parataxis                 | he drained all his detergent water
  subordinate_advcl         | down so he would stop
  nonfinite_xcomp           | playing with these bubbles
  parataxis                 | he would stop
  nonfinite_xcomp           | blowing these bubbles
  subordinate_advcl         | as he walked away
  subordinate_advcl         | as he was going back to his home
  parataxis                 | there was a dragon shaped bubble
  subordinate_acl:relcl     | he blew
  coordinated_vp            | but he was looking behind him
File: ALL_005_M_CMN_ENG_ST1.TextGrid
Clauses: 35
  independent               | there is a bird
  parataxis                 | his name is jack
  subordinate_advcl         | when jack is working along the street
  parataxis                 | he found a cat on the ground
  subordinate_advcl         | so he thinks
  subordinate_ccomp         | the cat is interesting
  parataxis                 | so he puts a cap on his head
  parataxis                 | he think
  subordinate_ccomp         | is looks great
  coordinated_vp            | so he only takes the hat with him
  subordinate_advcl         | but one day when he is working another bird
  coordinated_vp            | her name is jane saw
  subordinate_ccomp         | she see
  subordinate_ccomp         | he is working with the hat
  subordinate_advcl         | so so jane laughed at mike
  parataxis                 | and mike is very angry
  subordinate_advcl         | because mike is angry
  subordinate_advcl         | so he throw away his hat on the ground
  parataxis                 | and he left
  parataxis                 | jane saw
  subordinate_ccomp         | that mike left the hat on the ground
  subordinate_advcl         | so she picked up the hat
  coordinated_vp            | and take the hat to her home
  parataxis                 | she used the hat as his nest
  coordinated_vp            | and she putted the hat on her tree
  coordinated_vp            | but one day mike found
  subordinate_ccomp         | that jane is using the hat
  independent               | so he got angry
  coordinated_vp            | he took the hat away from jane
  coordinated_vp            | and this time he put the hat on his head
  coordinated_vp            | but he felt
  subordinate_ccomp         | there is something wrong
  subordinate_advcl         | so he took off his hat
  coordinated_vp            | and he saw
  subordinate_ccomp         | there is another little bird on his head
File: ALL_005_M_CMN_ENG_ST2.TextGrid
Clauses: 38
  subordinate_advcl         | once there is a boy
  independent               | his name is jack
  parataxis                 | he loves
  nonfinite_xcomp           | to blow bubbles with his soap water
  coordinated_vp            | and he can change the bubbles into any shapes
  subordinate_acl:relcl     | he wants
  parataxis                 | so he can use the bubbles
  subordinate_advcl         | to make anything
  subordinate_acl:relcl     | he wants for example
  parataxis                 | the cars the ships and butterflies and birds something like 
  independent               | so one day he used his bubble
  coordinated_vp            | and he blows the bubble into a shape of a snake
  nonfinite_participle      | he is scared by the snake
  coordinated_vp            | and after that he blows the bubbles into another shape
  coordinated_vp            | he uses other soap water
  coordinated_vp            | and blows the bubbles into a shape of a tiger
  subordinate_advcl         | so the tiger terrifies the snake away
  parataxis                 | but the boy was scared by the tiger
  subordinate_advcl         | so he made something
  subordinate_acl           | to scare the tiger
  parataxis                 | he used soap water
  subordinate_advcl         | to make a bubble elephant
  parataxis                 | the tiger is scared by the elephant
  subordinate_advcl         | so the elephant can take the tiger away
  coordinated_vp            | but the elephant starts
  nonfinite_xcomp           | to threaten the little boy
  parataxis                 | so the little boy jack use the bubble
  subordinate_advcl         | to make a new mouse
  parataxis                 | elephants are scared to mouse
  subordinate_advcl         | so the mouse take the elephant away
  parataxis                 | finally jack is tired of the bubbles
  subordinate_advcl         | so he broke all the bubbles
  coordinated_vp            | and threw away his soap water
  subordinate_advcl         | so he threw the bottle into the trash and left
  parataxis                 | there is a dragon
  subordinate_acl           | looking at him
  parataxis                 | but the boy are not interested anymore
  coordinated_vp            | so the boy just leave
File: ALL_006_M_PBR_ENG_ST1.TextGrid
Clauses: 24
  independent               | once upon a time there was a black bird full of feathers in 
  subordinate_advcl         | and walking through the grass
  parataxis                 | he suddenly found a head
  parataxis                 | so he just picked the head
  coordinated_vp            | and wear it
  subordinate_advcl         | when he stepped by a skinny bird
  parataxis                 | so the skinny bird started
  nonfinite_xcomp           | to laugh at him
  parataxis                 | then the black bird got mad
  coordinated_vp            | and just took the head off and gone
  coordinated_vp            | and went away
  parataxis                 | so the skinny bird took the head
  subordinate_acl:relcl     | that was left by the black bird
  nonfinite_xcomp           | and started to nest inside it
  parataxis                 | then the black bird came back
  subordinate_advcl         | and looking at this scene
  coordinated_vp            | went there
  coordinated_vp            | and got the head again from the skinny bird
  coordinated_vp            | and wear it again
  coordinated_vp            | but at the end the head had
  parataxis                 | a little bird inside it so both birds
  coordinated_vp            | so now there were three birds and a head
  coordinated_vp            | and the skinny bird was laughing at him
  coordinated_vp            | and his little bird seemed to be happy with the situation
File: ALL_006_M_PBR_ENG_ST2.TextGrid
Clauses: 50
  independent               | okay this is a story about a young guy
  subordinate_acl:relcl     | and the gift he received from christmas
  subordinate_acl:relcl     | which was a bubble maker
  subordinate_advcl         | as soon as he received this gift
  parataxis                 | he went
  nonfinite_xcomp           | to play with it
  parataxis                 | so he just seated by a tree
  parataxis                 | he was wearing a blue hat and a yellow shirt
  parataxis                 | so he started
  nonfinite_xcomp           | to blow the gift
  coordinated_vp            | and making a lot of bubbles
  coordinated_vp            | and he tried
  nonfinite_xcomp           | to make animals bubbles in form of animals
  parataxis                 | so he just started to run
  coordinated_vp            | and do these bubbles in form of cars and animals and boats
  subordinate_advcl         | so he did
  parataxis                 | so he just thought
  subordinate_advcl         | about doing a snake
  parataxis                 | and that was the snake
  coordinated_vp            | then he thought
  subordinate_advcl         | about doing a pig
  parataxis                 | and that was the pig
  subordinate_advcl         | and after that after doing the snake
  coordinated_vp            | he did a cat
  parataxis                 | and he was amazed
  subordinate_ccomp         | how the cat was perfect seemed
  nonfinite_xcomp           | to be chasing the snake
  parataxis                 | after that he did an elephant
  coordinated_vp            | and the elephant was playing with another animal
  subordinate_acl:relcl     | that he just did
  subordinate_advcl         | by blowing the gift
  coordinated_vp            | and surprisingly the elephant started
  nonfinite_xcomp           | to fly away
  subordinate_advcl         | and after doing elephant bubble
  coordinated_vp            | he did stars
  subordinate_advcl         | so he did all sort of animals and things
  subordinate_acl:relcl     | he he wanted
  coordinated_vp            | and after some time he got bored by this play
  coordinated_vp            | and he just poured the liquid in the ground
  coordinated_vp            | and went home
  subordinate_advcl         | after he poured the liquid in the ground
  parataxis                 | he threw the gift in the trash
  subordinate_csubj         | but what he didn't know
  parataxis                 | is that the liquid
  subordinate_acl:relcl     | that he put in the ground
  subordinate_ccomp         | turned into a huge dragon
  coordinated_vp            | but the dragon did not had anybody
  subordinate_acl           | to play with
  subordinate_advcl         | since he had gone to home
  parataxis                 | so that's the end of the story
File: ALL_007_F_PBR_ENG_ST1.TextGrid
Clauses: 82
  independent               | one day a brown feathered bird was walking along the forest
  subordinate_advcl         | when all of a sudden he found a hat
  subordinate_acl           | lying on the floor
  parataxis                 | he looked at the hat
  subordinate_ccomp         | and thought it looked good
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to take it for himself
  nonfinite_xcomp           | and started wearing it all over the place
  coordinated_vp            | a few days later he was walking along the same forest
  subordinate_advcl         | when a bird far away started
  nonfinite_xcomp           | to look at him
  coordinated_vp            | and it looked at him with a strange glance
  coordinated_vp            | and the brown feathered bird didn't understand
  subordinate_ccomp         | why the other bird was looking at him so much
  subordinate_advcl         | so he started
  nonfinite_xcomp           | to walk towards him
  subordinate_advcl         | once he reached the other bird
  subordinate_ccomp         | the other bird started
  parataxis                 | laughing and laughing to the point
  subordinate_acl:relcl     | where he was falling on the ground
  coordinated_vp            | and was still laughing
  parataxis                 | the brown feathered bird started
  nonfinite_xcomp           | to get very angry
  subordinate_advcl         | because he didn't understand
  subordinate_ccomp         | what the other bird was laughing about
  parataxis                 | he thought
  subordinate_ccomp         | maybe it was about the hat
  parataxis                 | he thought
  subordinate_ccomp         | he looked good in the hat
  coordinated_vp            | but apparently the other bird didn't
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to throw his hat away
  coordinated_vp            | and he walked away as fast as he could
  subordinate_advcl         | when the other bird saw the hat on the floor with no owner o
  parataxis                 | he decided
  nonfinite_xcomp           | to take it for himself
  parataxis                 | so he got the bird at the
  parataxis                 | so he got the hat on his beak
  coordinated_vp            | and he started
  nonfinite_xcomp           | walking towards his home
  subordinate_advcl         | once he got near his old nest
  parataxis                 | he saw a little tree with some bushes
  subordinate_ccomp         | and decided that he would move to that tree
  parataxis                 | and that the hat would be his new nest
  subordinate_advcl         | so he found a cozy spot in the tree
  coordinated_vp            | put his hat down
  coordinated_vp            | and went inside it
  coordinated_vp            | and slept nicely and warmly
  subordinate_advcl         | about a week after that the brown feathered bird was walking
  subordinate_advcl         | when he saw him
  subordinate_advcl         | and when he saw
  subordinate_ccomp         | that the bird was using his hat
  coordinated_vp            | he got very very angry
  subordinate_advcl         | because he wanted the hat for himself
  coordinated_vp            | but he threw it away
  subordinate_advcl         | because the other bird was laughing about it
  subordinate_advcl         | so he went up to the tree
  nonfinite_xcomp           | looked at the bird
  coordinated_vp            | and said hey bird
  subordinate_ccomp         | what are you doing with my hat
  subordinate_acl:relcl     | that was my hat
  coordinated_vp            | and you took it from me
  coordinated_vp            | and he grabbed the hat
  coordinated_vp            | and started walking
  coordinated_vp            | and took it for himself
  parataxis                 | and the other bird was so scared
  subordinate_advcl         | because he was sleeping
  coordinated_vp            | and he was keeping the hat warm for a very very special reas
  coordinated_vp            | and then the brown feathered hat just to show
  subordinate_ccomp         | that he owned the hat
  coordinated_vp            | he put it on his head
  coordinated_vp            | and the other bird started
  nonfinite_xcomp           | to get very very angry
  coordinated_vp            | and now all of a sudden something really strange happened
  parataxis                 | the brown feathered bird started
  nonfinite_xcomp           | to feel a little thing
  subordinate_acl           | moving under the hat
  nonfinite_xcomp           | and starting to pinch his head
  subordinate_advcl         | and when he took the hat off
  coordinated_vp            | he saw
  subordinate_ccomp         | that a little baby bird had just born underneath the hat
  subordinate_acl:relcl     | and that's why the other bird was so angry about it
File: ALL_007_F_PBR_ENG_ST2.TextGrid
Clauses: 112
  independent               | john was a little fiveyearold boy
  subordinate_acl:relcl     | who just as any other fiveyearold liked
  nonfinite_xcomp           | to find different things to play
  subordinate_advcl         | to amuse himself
  coordinated_vp            | and to keep himself distracted
  parataxis                 | and also as any other fiveyearold he was a very creative boy
  subordinate_ccomp         | to make bubbles
  parataxis                 | he would spend all day
  subordinate_advcl         | with his bubbles set on his hand
  subordinate_acl:relcl     | and everywhere he would go
  coordinated_vp            | he would be blowing on bubbles
  coordinated_vp            | and now one day he was looking at the bubbles
  subordinate_acl:relcl     | he was making
  coordinated_vp            | and he started
  nonfinite_xcomp           | to see different figures in it
  parataxis                 | one day he saw a rabbit
  parataxis                 | the other day he saw a car
  parataxis                 | he saw shapes butterflies airplanes all kinds of things
  coordinated_vp            | and those things became almost as his playmates
  parataxis                 | he was always running around
  subordinate_advcl         | playing with his bubbles and all the different shapes
  subordinate_acl:relcl     | he made out of them
  coordinated_vp            | but one day this whole playing started
  nonfinite_xcomp           | to get a bit too serious
  parataxis                 | one morning he started
  nonfinite_xcomp           | blowing a bubble
  coordinated_vp            | and the bubble started
  nonfinite_xcomp           | to take the shape of a snake a very big and angry snake
  coordinated_vp            | and john got a little scared about that
  subordinate_advcl         | so what he thought
  subordinate_ccomp         | he would do
  subordinate_ccomp         | is to go to his bubble friends
  nonfinite_xcomp           | and try to blow a bubble
  subordinate_acl:relcl     | that would be something
  subordinate_acl:relcl     | that would scare the snake away
