file_id,source_textgrid,candidate_csv,review_textgrid,n_candidates,n_predicted,audio_copied,error
EAU18-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EAU18-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EAU18-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EAU18-ST1.TextGrid,33,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EAU18-ST1.wav,
EAU18-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EAU18-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EAU18-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EAU18-ST2.TextGrid,29,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EAU18-ST2.wav,
ENZ20-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\ENZ20-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\ENZ20-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ20-ST1.TextGrid,37,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\ENZ20-ST1.wav,
ENZ20-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\ENZ20-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\ENZ20-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ20-ST2.TextGrid,33,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\ENZ20-ST2.wav,
ENZ31-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\ENZ31-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\ENZ31-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ31-ST1.TextGrid,17,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\ENZ31-ST1.wav,
ENZ31-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\ENZ31-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\ENZ31-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\ENZ31-ST2.TextGrid,13,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\ENZ31-ST2.wav,
EUS11-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EUS11-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EUS11-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS11-ST1.TextGrid,29,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EUS11-ST1.wav,
EUS11-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EUS11-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EUS11-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS11-ST2.TextGrid,16,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EUS11-ST2.wav,
EUS32-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EUS32-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EUS32-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS32-ST1.TextGrid,40,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EUS32-ST1.wav,
EUS32-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\EUS32-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\EUS32-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\EUS32-ST2.TextGrid,44,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\EUS32-ST2.wav,
IID15-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID15-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID15-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID15-ST1.TextGrid,31,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID15-ST1.wav,
IID15-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID15-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID15-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID15-ST2.TextGrid,43,6,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID15-ST2.wav,
IID22-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID22-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID22-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID22-ST1.TextGrid,55,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID22-ST1.wav,
IID22-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID22-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID22-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID22-ST2.TextGrid,65,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID22-ST2.wav,
IID35-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID35-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID35-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID35-ST1.TextGrid,76,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID35-ST1.wav,
IID35-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID35-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID35-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID35-ST2.TextGrid,62,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID35-ST2.wav,
IID40-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID40-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID40-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID40-ST1.TextGrid,23,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID40-ST1.wav,
IID40-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID40-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID40-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID40-ST2.TextGrid,30,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID40-ST2.wav,
IID41-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID41-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID41-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID41-ST1.TextGrid,44,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID41-ST1.wav,
IID41-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\IID41-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\IID41-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\IID41-ST2.TextGrid,40,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\IID41-ST2.wav,
KKD19-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD19-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD19-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD19-ST1.TextGrid,25,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD19-ST1.wav,
KKD19-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD19-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD19-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD19-ST2.TextGrid,48,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD19-ST2.wav,
KKD27-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD27-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD27-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD27-ST1.TextGrid,23,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD27-ST1.wav,
KKD27-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD27-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD27-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD27-ST2.TextGrid,25,0,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD27-ST2.wav,
KKD46-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD46-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD46-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD46-ST1.TextGrid,48,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD46-ST1.wav,
KKD46-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKD46-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKD46-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKD46-ST2.TextGrid,63,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKD46-ST2.wav,
KKR24-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKR24-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKR24-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR24-ST1.TextGrid,38,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKR24-ST1.wav,
KKR24-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKR24-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKR24-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR24-ST2.TextGrid,57,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKR24-ST2.wav,
KKR40-ST1,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKR40-ST1.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKR40-ST1_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR40-ST1.TextGrid,36,2,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKR40-ST1.wav,
KKR40-ST2,ja\rq3_v16_clean_release_20260223\inputs\asr_word_textgrids\KKR40-ST2.TextGrid,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\candidates\per_file\KKR40-ST2_vad_classifier.csv,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\KKR40-ST2.TextGrid,58,1,ja\rq3_v16_clean_release_20260223\analysis\rq3_gaponly_neural_t050_20260224\review_textgrids\audio\KKR40-ST2.wav,
