id;Consider_Construction;classification
17;(Technion - Israel Institute of Technology) </s><s> Uri Schonfeld (University of California Los Angeles) </s><s> Abstract: We consider the problem of DUST: Different URLs with Similar Text. </s><s> Such duplicate URLs are prevalent in web sites, as web server;non-evaluative
18;amount of information returned to a user may hardly be controlled without further user-interaction. </s><s> In this paper we consider the optimization of bounded continuous search queries where only the estimated best k elements are returned to a user. </s>;non-evaluative
19;traditional information retrieval models, documents are taken as the retrieval units and the content of a document is considered reliable. </s><s> However, this reliability assumption is no longer valid in the object retrieval context when multiple;evaluative
20;classification is the ability to identify and categorize network traffic by application type. </s><s> In this paper, we consider the problem of traffic classification in the network core. </s><s> Classification at the core is challenging because only;non-evaluative
21;information on the Web cannot rely on all relevant pages being found with conventional search engines, and need to consider other strategies to ensure important information can be found. </s><s> Poster Papers </s><s> Paper Title: A Probabilistic Semantic;non-evaluative
22;sentence retrieval models with or without consideration of term relationships. </s><s> Term relationships in this paper are considered from two perspectives. </s><s> The fist one observes relationships between pairs of terms and the second one focuses on;non-evaluative
23;online multilingual, multimedia agricultural portal for disseminating information from and to rural communities. </s><s> Considering resource constrained rural environments, we have designed and implemented an offline solution which provides an;non-evaluative
24;the causal relation of queries is detected effectively. </s><s> Abstract: This paper addresses the desktop search problem by considering various techniques for ranking results of a search query over the file system. </s><s> First, basic ranking techniques, which;non-evaluative
25;ranking techniques, which are based on a single file feature (e.g., file name, file content, access date, etc.) are considered . </s><s> Next, two learning-based ranking schemes are presented, and are shown to be significantly more effective than the;non-evaluative
26;more effective than the basic ranking methods. </s><s> Finally, a novel ranking technique, based on query selectiveness is considered , for use during the cold-start period of the system. </s><s> This method is also shown to be empirically effective, even though;non-evaluative
27;thirsty for medical information. </s><s> Existing Web search engines cannot handle medical search well because they do not consider its special requirements. </s><s> Often a medical information searcher is uncertain about his exact questions and;non-evaluative
28;(Genesys Telecommunication Labs) </s><s> Herbert Ristock (Genesys Telecommunication Labs) </s><s> Abstract: In this paper, we consider a way to represent contact center applications as a set of multiple XML documents written in different markups;non-evaluative
29;and CCXML. </s><s> Applications can comprise a dialog with IVR, call routing and agent scripting functionalities. </s><s> We also consider ways how such applications can be executed in run-time contact center environment. </s><s> Abstract: We describe a;non-evaluative
30;are based on three different propagation schemes and two different uses of the connectivity structure of the graph. </s><s> We consider a web-specific application of the above measures with two disjoint anchors --- good and bad web pages --- and study the;non-evaluative
31;of whether you start a new business or build a website around an existing business. </s><s> The first thing you should consider is the popularity of different search terms. </s><s> The more popular they are the more traffic they can bring. </s><s> You should;non-evaluative
32;traffic they can bring. </s><s> You should primarily target topics that can bring you a lot of traffic but you will also have to consider other factors. </s><s> Not all traffic is profitable and it does not matter how much traffic you get if that traffic is worthless;non-evaluative
33;the better. </s><s> One visitor that is looking to buy something is worth 100 visitors that are not. </s><s> It is also important to consider the motivation of the buyer. </s><s> A buyer that is motivated to solve a real problem in their life is willing to spend more money;non-evaluative
34;the index page. </s><s> Most sliders has a click through rate of less then 1 %. </s><s> Very few have more then 1.5%. </s><s> This is extremely low considering the position of the slider. </s><s> A slider will provide very little benefit while occupying your most valuable position. </s><s> It;non-evaluative
35;approaches to solving this problem, including recent efficient linear-time approximate algorithms. </s><s> We will consider various ranking performance measures and how some of them create complications for learning algorithms. </s><s> In the graph;non-evaluative
36;node ranking scenario, we will briefly review Pagerank, generalize it to arbitrary Markov conductance matrices, and consider the problem of learning conductance parameters from partial orders between nodes. </s><s> In another class of formulation,;non-evaluative
37;of papers submitted were divided into theme areas to help with the selection process. </s><s> Each of the theme areas were considered by a panel who were asked to nominate the best paper from their area. </s><s> The following papers were selected for;non-evaluative
38;Interaction Working Group is tackling the MMI architecture and the EMMA markup language with a great deal of energy and considering how to combine various specifications to author concrete multimodal Web applications. </s><s> Architectural Integration (;non-evaluative
39;machines. </s><s> Agrawal has been granted more than 55 patents. </s><s> He has published more than 150 research papers, many of them considered seminal. </s><s> He has written the 1st as well as 2nd highest cited of all papers in the fields of databases and data mining (14th;evaluative
40;use. </s><s> See the hotel Web site for more details. </s><s> 5. </s><s> Buddy System. </s><s> If a room of your own just isn't possible, then you might consider sharing a hotel room for the week. </s><s> Whether you are a graduate student with minimal travel funding, a company employee on;non-evaluative
41;well. </s><s> The WWW2007 hotel buddy system is now ready if you need it. </s><s> 4. </s><s> Supporting WWW2007. </s><s> The conference organizers considered site selection carefully, and truly believe that the Fairmont Banff Springs Hotel offers the best possible venue for;non-evaluative
42;, and the problem of typing tags in a streaming XML document according to an SDTD schema. </s><s> For the latter problem, we consider both pre-order typing and post-order typing of a document, which dynamically determines types at open-tags and;non-evaluative
43;above-average answer accuracy on all task types, while 7 (16%) showed below-average accuracy on all task types. </s><s> Considering participation as a worker answering at least 5% of tasks, of the 23 workers who participated in multiple task types, 9 (;non-evaluative
44;variants, namely c-joining, s-joining and b-joining semantics where the latter coincides with [16], and can thus be considered normative. </s><s> We further discuss how aspects such compositionality, or idempotency of joins are treated in these;evaluative
45;variables, as shown in the next example. </s><s> Example 3 Let be as before and assume the following query which might be considered a naive attempt to ask for pairs of persons , who share the same name and nickname where both, name and nickname are;evaluative
46;to ask for pairs of persons , who share the same name and nickname where both, name and nickname are optional: Again, we consider the tabular view of the resulting join: </s><s> Now, let us see what happens when we evaluate the join with respect to the;non-evaluative
47;s-join would have the expected result. </s><s> At the very least we might argue, that the liberal behavior of b-joins might be considered surprising in some cases. </s><s> The c-joining semantics acts a bit more cautious in between the two, treating null values as;evaluative
48;joins over incomplete relations are treated in common relational database systems, the s-joining semantics might be considered the intuitive behavior. </s><s> Another interesting divergence (which would rather suggest to adopt the c-joining;evaluative
49;. </s><s> Another interesting divergence (which would rather suggest to adopt the c-joining semantics) shows up when we consider a simple idempotent join. </s><s> Example 4 Let us consider the following single triple dataset and the following simple query;non-evaluative
50;rather suggest to adopt the c-joining semantics) shows up when we consider a simple idempotent join. </s><s> Example 4 Let us consider the following single triple dataset and the following simple query pattern: </s><s> Clearly, this pattern, has the solution;non-evaluative
51;SPARQL document, and we might also think of examples where this obviously makes a lot of sense. </s><s> Especially, when considering no explicit joins, but the implicit joins within the OPT operator: </s><s> Example 5 Let and assume a slight variant of a query;non-evaluative
52;the is taken, and, if not specified, . </s><s> Only contains the expected solution for the bNode . </s><s> All three semantics may be considered as variations of the original definitions in [16], for which the authors proved complexity results and various;evaluative
53;the well-designedness condition. </s><s> Since in the general case the equivalences for Prop. 2 do not hold, we also need to consider nested UNION patterns as a potential source for null bindings which might affect join results. </s><s> We extend the notion of;evaluative
54;, that as for the discussion of intuitivity of the different join semantics discussed in Examples 3-5, we did not yet consider combinations of different join semantics, e.g. using b-joins for OPT and c-joins for AND patterns. </s><s> We leave this for;non-evaluative
55;. </s><s> The external atom is true if is an RDF triple entailed by the RDF graph which is accessibly at IRI . For the moment, we consider simple RDF entailment [13] only. </s><s> Finally, we write comparison atoms ' ' and ' ' in infix notation with and the obvious;non-evaluative
56;[9] of with respect to , denoted , is the set of all such that . is an answer set of iff is a minimal model of . </s><s> We did not consider further extensions common to many ASP dialects here, namely disjunctive rule heads, strong negation [11]. </s><s> We note;non-evaluative
57;variables within the query pattern . Let denote the possibly-null-binding variables in a (sub)pattern . We need to consider all rules in Fig. 2 which involve -joins, i.e. the rules of the forms (2),(5) and (6). </s><s> Since rules (5) and (6) do not make;non-evaluative
58;Result Forms and Solution Modifiers </s><s> We have covered only SELECT queries so far. </s><s> As shown in the previous section, we can consider ASK queries equally. </s><s> A limited form of the CONSTRUCT result form, which allows to construct new triples could be;non-evaluative
59;is syntactically not present at all, but we will suggest a syntax extension for this particular keyword in Sec. 5. </s><s> We consider ASP, more precisely a simplified version of ASP with so-called HEX-programs [8] here, since it is up to date the most;non-evaluative
60;by the use of punning semantics, which insures that the different aspects of entities (Individual, OWL Class) are considered separately, as described in section 6.1.1. </s><s> Figure 2. </s><s> Model stack for Product Information Management, in comparison;non-evaluative
61;), is enhanced for PIM. </s><s> Contrary to other RDBMS approaches which persist OWL ontologies as a set of RDF triples and do not consider specific process for complex class descriptions generated by class constructors (Boolean combinations, various;non-evaluative
62;by a DL reasoner (Pellet and Racer are currently supported) which can provide complete and sound DL reasoning. </s><s> Considering the limited scalability of a DL reasoner on ABox (Assertion Box, including assertions about data) reasoning, SOR;non-evaluative
63;second assertion, C is firstly interpreted as an Individual, and then as a Class. </s><s> In term of punning semantics, they are considered as two different objects, which make more difficult the combination between a generic rule language, such as SWRL, OWL;evaluative
64;measures and rankings in social network studies. </s><s> In directed networks, people who receive many positive choices are considered to be prestigious, and prestige becomes salient especially if positive choices are not reciprocated [25]. </s>;evaluative
65;themselves. </s><s> We can answer both of these questions by looking at the correlation profile (see Maslov et al. [23]) Here we consider a simplified correlation profile that for each asker-replier pair counts the indegree of the replier versus the;non-evaluative
66;"measures; for an overview see [4, 6]. </s><s> We propose using a PageRank-like algorithm to generate a measure that not only considers how many other people one helped, but also whom she/he helped. </s><s> We call it ÒExpertiseRankÓ. </s><s> The intuition behind";non-evaluative
67;. </s><s> It should be noted that this is not necessarily the combination of the top- and second-level domain. </s><s> For instance, we consider the ''main'' part of www.cs.university.edu to be university.edu, but the ''main'' part of www.company.co.jp would;evaluative
68;. </s><s> There are a number of emerging technologies that could greatly assist phishing classification that we have not considered . </s><s> For instance, Sender ID Framework (SIDF) [19] and DomainKeys [28], along with other such sender authentication;non-evaluative
69;. </s><s> This is because we rely on a unigram language model for the sentiments, and the ''bag of words'' assumption does not consider word dependency and linguistics. </s><s> This problem can be tackled when phrases are used as the bases of the sentiment models;non-evaluative
70;, there are several lines of related work. </s><s> Weblogs have been attracting increasing attentions from researchers, who consider weblogs as a suitable test bed for many novel research problems and algorithms [11,7,6,15,19]. </s><s> Much new research work;evaluative
71;mining useful information (topic/sentiment models, sentiment dynamics) from weblogs. </s><s> These methods do not either consider the correlation of sentiments and topics or model sentiment dynamics. </s><s> Some recent work has been aware of this;non-evaluative
72;approach could be found in [27]. </s><s> Their vision of topic-sentiment dependency is similar to ours. </s><s> However, they do not consider the mixture of topics in the text, while we assume that a document could cover multiple subtopics and different;non-evaluative
73;in either a pull based mechanism as shown in our earlier paper [9] or combinations of push and pull. </s><s> In this paper we consider only push based data dissemination among servers, DAs and clients. </s><s> Next we present the summary of our approach towards;non-evaluative
74;. </s><s> Figure 1: Data dissemination network for multiple data items </s><s> 1.2 Summary of Approach and Contributions </s><s> Consider a client query Q1=50 S1 + 200 S2 + 150 S3 with a required incoherency bound of 80 (in a stock portfolio S1, S2, S3 can be;non-evaluative
75;is a page design issue, whereas, for continuous aggregation queries, this issue has to be handled on per-query basis by considering data dissemination capabilities of data aggregators as represented in Example 1. </s><s> 1.3 Outline of the Paper </s><s> We give a;non-evaluative
76;"C, is proportional to Rs/C2. </s><s> Next we use this result for developing the query cost model. </s><s> 3.2 Query Dissemination Cost </s><s> Consider a case where a query consists of two data items P and Q with weights wp and wq respectively; and we want to estimate its";non-evaluative
77;the number of refreshes as per the objective. </s><s> Before attempting the hard problem of optimizing Z, let us first consider a simpler problem where values of Ck are given. </s><s> In this simpler problem we divide the client query into sub-queries to;non-evaluative
78;this simpler problem we divide the client query into sub-queries to minimize the estimated execution cost (Z) without considering the optimal division of the query incoherency bound into sub-query incoherency bounds. </s><s> Besides working as a step;non-evaluative
79;all the remaining sub-queries in A before performing the next iteration. </s><s> 4.2.2 Optimizing query execution cost </s><s> Now we consider the overall problem to select the optimal set of sub-queries while simultaneously dividing the query incoherency;non-evaluative
80;dividing the query incoherency bound among them. </s><s> In this case we get the set of maximal queries (A) without considering the minimum incoherency bounds that the data aggregators can satisfy (i.e., condition3). </s><s> In this algorithm we first;non-evaluative
81;data aggregators can satisfy (i.e., condition3). </s><s> In this algorithm we first get the optimal set of sub-quires without considering the condition3 and then allocate incoherency bound among them using condition1 (Equation (13)) and condition3. </s>;non-evaluative
82;set of sub-queries (and corresponding DAs) is selected the incoherency bound allocation is not possible. </s><s> Example 2: Consider a client query 50S1 + 200S2 + 150S3 with the incoherency bound of 80 and data dissemination network consisting of two;non-evaluative
83;between the query satisfiability and performance. </s><s> In Section 4.2.2 we are selecting the sub-queries without considering the data incoherency bounds for the selected data aggregators. </s><s> We correct that by selecting sub-queries using as;non-evaluative
84;be ensured. </s><s> 5.1 Comparison of algorithms </s><s> For comparison with our algorithms, presented in the previous section, we consider various other query plan options. </s><s> Each query can be executed by disseminating individual data items or by getting;non-evaluative
85;to the covering a set of data items (query) using its sub-sets (sub-queries) for which the greedy min-cost algorithm is considered to be most efficient [7], we see that max-gain algorithm requires 20-25% less messages compared to the min-cost;evaluative
86;characteristics of our sub-query selection method which lead it to perform better compared to other options. </s><s> We consider effects of three parameters on sub-query selection and, in turn on query performance: data dynamics, correlation;non-evaluative
87;is taken into account and when cosine similarity is assumed to be 0 for all data item pairs. </s><s> It can be seen that by considering cosine similarity number of refreshes reduce by approximately 12%. </s><s> This result indicates that for sub-query;non-evaluative
88;]. </s><s> For minimizing the number of pulls, both model the individual data items and predict data values. </s><s> In comparison, we consider the situation where different sub-queries, involving multiple data items, can be evaluated at different nodes. </s>;non-evaluative
89;. </s><s> Spatial and temporal correlations between sensor data are used to reduce data refresh instances in [17, 18]. </s><s> We also consider correlation in terms of cosine similarity between data items, but we use it for dividing client query into sub-queries;non-evaluative
90;names such as France, U.N., or New York. </s><s> We implemented a rule-based tagger that extracts names from any given text. </s><s> We consider a sentence in the text as a set of words and a proper name is defined as a set of capitalized words separated by certain;evaluative
91;extraction algorithm implemented in GeoTracker. </s><s> To evaluate the performance of the overall system, we mainly considered two different approaches for a). </s><s> First, we implemented an efficient rule-based tagger (RBT) which parses the;non-evaluative
92;, retrieving 123 of the 130 locations (R=98.08%) present in the data, although the precision reduces to 84.62%. </s><s> When we consider the mappable locations, NER is very close to the upper bound mapping 90 of the 93 mappable locations from the test set C.;non-evaluative
93;, there are several issues that need to be addressed. </s><s> For example, it has to support fast operations, especially we are considering software applications that target people on the move. </s><s> Moreover, if intensive compression methods are employed, they;non-evaluative
94;as XMill does. </s><s> This results in a larger storage layer than XMill, which will then uses higher number of disk writes. </s><s> When consider using the proposed structure as a storage scheme of a full-fledged database system, one must consider its query;non-evaluative
95;writes. </s><s> When consider using the proposed structure as a storage scheme of a full-fledged database system, one must consider its query performance. </s><s> Figure 7 (with details listed in Tables 4) shows the query performance of ISX against other;non-evaluative
96;drag-drop type operations, while the authoring environment keeps the underlying code infrastructure hidden. </s><s> Consider the example of Tom, the owner and sole employee of a travel agency, who arranges airline tickets, car rentals, hotel;non-evaluative
97;"2. </s><s> Outline of Web Clip creation process </s><s> The clipping process enables the end-user to select data from a target web page. </s><s> Consider the example of Tom discussed earlier. </s><s> One of the web clips that Tom could be interested in, is the ""sample airfares""";non-evaluative
98;it. </s><s> If there was no block similar to the clipped element, an element with the same tag name and same type of content was considered as a block and moved either immediately above or below the clipped element, based on its initial position. </s><s> Block;evaluative
99;them to web search [1]. </s><s> A general introduction of folksonomy could be found in [6] by E. Quintarelli. </s><s> M. Dubinko et al. considered the problem of visualizing the evolution of tags [18]. </s><s> They presented a new approach based on a characterization of the;non-evaluative
100;"achieved, we present a case study here. </s><s> For simplicity, the similarity between the query and document content is not considered . </s><s> Given the query ""airfare"", 318 web pages are associated through the social annotations and the top-4 web pages";non-evaluative
101;online databases [3,9,10,13,26,29]. </s><s> However, even a focused crawler invariably retrieves a diverse set of forms. </s><s> Consider for example, the Form-Focused Crawler (FFC) [3] which is optimized for locating searchable Web forms. </s><s> For a set of;non-evaluative
102;for form attributes--a task that is hard to automate [19,25]. </s><s> Cope et al. [12], on the other hand, use a classifier that considers only a subset of the form contents: the form structure and the content inside tags in the form context (e.g., the text;non-evaluative
103;when a focused crawler is used, the set of forms retrieved may include searchable forms from many different domains. </s><s> Consider , for instance the forms in Figure 5. </s><s> These two forms were retrieved by the Form-Focused Crawler (FFC) during a crawl to;non-evaluative
104;3]) and collected all distinct forms in the crawled pages. </s><s> Forms with the same structure and located in the same host are considered the same--even if they appear in different pages. </s><s> Then, we used the GFC to filter out the non-searchable forms. </s><s> From;non-evaluative
105;task of the DSFC is simplified, the overall classification process is more accurate and robust. </s><s> The DSFC need not consider hypotheses that deal with the high variability present in non-searchable forms, and this simpler hypothesis set;non-evaluative
106;in non-searchable forms, and this simpler hypothesis set leads to improved classification accuracy. </s><s> As an example, consider Figure 2, which shows two forms with similar content. </s><s> Whereas the form on the left is a (relevant) searchable form in the;non-evaluative
107;contains extraneous terms. </s><s> Since our form extraction process is automated and all non-HTML terms within the form are considered , a non-searchable form may be incorrectly classified if these extraneous terms are representative of the database;non-evaluative
108;a suitable measure when the input to the classifier contains similar proportions of positive and negatives examples. </s><s> Consider , for example, an input set consisting of 1 positive example and 9 negative examples. </s><s> If a classifier labels all items as;non-evaluative
109;classify forms in different domains. </s><s> Although Cope's classifier has a domain-specific component, unlike the DSFC it considers only a subset of the form contents: the form structure and the contents inside the HTML tags. </s><s> Thus, its effectiveness is;non-evaluative
110;al., performance was a key consideration. </s><s> Their application requires the classification of a large number of images considering a very large number of features, some of which can be expensive to identify. </s><s> The classifier hierarchy they proposed;non-evaluative
111;a form is searchable or not, and in the case of [14], they use the probability of a given instance belongs to a class and considers only those ones that has a value higher than a threshold. </s><s> This paper presents a solution to the problem of identifying;non-evaluative
112;overhead of adaptation. </s><s> We formalize the intuition that services whose parameters have not expired need not be considered for querying for revised information. </s><s> Using two realistic scenarios, we illustrate our approach and demonstrate the;non-evaluative
113;other quality-of-service parameters, which may affect WS compositions tend to be volatile. </s><s> As a concrete example, consider a supply chain in which two suppliers compete for orders from a large manufacturer. </s><s> The sequence in which the;non-evaluative
114;are often able to guarantee that the parameters of their services will persist for some amount of time. </s><s> Thus, we need not consider querying those service providers for revised information whose previously obtained information has not expired. </s><s> We;non-evaluative
115;[11] explore adaptation in Web processes in the presence of coordination constraints between different WSs. </s><s> We do not consider such constraints here. </s><s> In [10], graph based techniques were used to evaluate the feasibility and correctness of;non-evaluative
116;the set . We note that if a WS is added to , the time taken to compute VOC may increase, during which other WSs may expire. </s><s> We consider this by recursively invoking the procedure until no more WSs are added to the set, . The time taken to compute VOC , , needs;non-evaluative
117;) Given identical policies and start states, adaptation using VOC and VOC generate identical Web processes. </s><s> We consider two cases: If the WS with the maximum VOC selected for querying has expired, , then VOC = VOC for every state, and the Web;non-evaluative
118;is similar to the complexity of adaptation using VOC, on average we expect significant computational gains from considering expiration times. </s><s> We demonstrate these gains experimentally in the next section. </s><s> A theoretical analysis of the;non-evaluative
119;, recalculation of the policy in line 22 will also take this time). </s><s> In total, VOC will run in time. </s><s> Finally, we must also consider (line 19) and (line 32), as these are external to the process and independent of the VOC calculations. </s><s> Thus the total;non-evaluative
120;VOC and lower bounded by the runtimes of a process with no adaptation. </s><s> This is intuitive because VOC always involves considering all participating WSs for querying, while no such computations are carried out in a process that does not adapt. </s><s> Both;non-evaluative
121;Web process composition with VOC based calculations, significant information changes in volatile environments are considered and used to make better decisions about which services to invoke next. </s><s> The comparison of VOC and static policy;non-evaluative
122;seldom remain unchanged over the lifetime of a Web process. </s><s> While the environment may change in several ways, we considered changes in the quality-of-service parameters such as rates of order satisfaction in this paper. </s><s> Prevalent;non-evaluative
123;query. </s><s> Optimal stopping is a well-known problem in the field of financial mathematics. </s><s> The main idea of this paper is to consider the development of the relevance of versions of Web pages as relevance charts and to treat the problem of estimating;non-evaluative
124;user interaction in contrast to many previous approaches in the field of document filtering or topic tracking. </s><s> Considering bounded continuous queries we demonstrate that there is a tradeoff between freshness and the quality of query results;non-evaluative
125;search queries that is applied by Web search systems and used as a reference strategy in this paper. </s><s> In this work we consider a simple stream of documents or versions of a specific document . The index corresponds to the time a document is;non-evaluative
126;. The index corresponds to the time a document is obtained from the Web in a push or a pull manner [21].2 Definition: We consider bounding conditions that are specified by the maximal number of documents to be returned. </s><s> A bounding condition;non-evaluative
127;information filtering methods presented in the field of topic tracking and detection [2] are not bounded. </s><s> We consider query profiles that are determined by a set of query terms provided by a user. </s><s> We may thereby assume that query profiles,;non-evaluative
128;is not yet available. </s><s> Possible approaches to this problem have been presented in [38], [18] and [31]. </s><s> In this work we consider each version of the information source or incoming document as a single document 'collection'. </s><s> The -term is based only;non-evaluative
129;on the previous definitions we may now define a common strategy to process bounded document filtering. </s><s> In this work we consider a PE method that applies function (1) as the ranking or evaluation function. </s><s> Obviously a PE method is a bounded;non-evaluative
130;documents if a high freshness value is required, i.e. if . </s><s> The validity of this theorem may be demonstrated by considering the example in figure 1. </s><s> If the best documents have to be selected that appear during the query execution time the;non-evaluative
131;"be significant. href=""#foot55"">1 In order to acquire fresher results, a larger number of evaluation periods has to be considered . </s><s> In figure 1 the query period is subdivided into 2 evaluation periods. </s><s> The bounding condition in this case is 2";non-evaluative
132;consisting of a normal query (e.g. written in SQL), a trigger condition and a termination criterion . In this work we consider only time-based trigger conditions. </s><s> We extend the basic notation of OpenCQ in order to support continuous search;non-evaluative
133;extension with respect to many continuous query languages is the possibility to provide a bounding condition. </s><s> In the considered query language a user has to define the number of estimated best results to be returned. </s><s> This feature is well-known from;non-evaluative
134;<s> A further specific attribute is the requirement to specify a user profile consisting of query terms. </s><s> An example for the considered query language is the following: </s><s> In this query the user requests the best documents on the server www.ebay.com over a;non-evaluative
135;query language (BCSQL). </s><s> 2 Answering queries: selecting the best k </s><s> In this section we give an introduction into the considered optimal stopping problem, frequently denoted as 'Secretary Selection problem' (SSP). </s><s> We first summarize results;non-evaluative
136;have been proposed in [14] and [30]. </s><s> In contrast to the problem of selecting one single best candidate, in this paper we consider the more general problem of selecting the best candidates in a stream of ranked documents by choices, we denote as k-SSP;non-evaluative
137;in a stream of ranked documents by choices, we denote as k-SSP. </s><s> An obvious extension of the single SSP is not to consider a single observation period (needed to adjust the optimal selection probability) but to consider observation;non-evaluative
138;single SSP is not to consider a single observation period (needed to adjust the optimal selection probability) but to consider observation periods. </s><s> Our method, following an approach in [15], first implies the choice of starting times .7 After;non-evaluative
139;in [15], first implies the choice of starting times .7 After rejecting the first candidates, the first candidate considered for selection is examined at or after time . (1) If candidates have already been examined with objects accepted and;non-evaluative
140;by circles. </s><s> An example is shown in figure . We denote the sequence of candidates as appearing at times respectively. </s><s> We consider a number of 2 candidates to be returned and two starting points and . Candidates and are rejected due to the first;non-evaluative
141;than at least one previously accepted candidate. </s><s> Due to the previous choice of two candidates, candidates and are not considered . </s><s> Based on this selection strategy the main problem is to find optimal times in order to maximize the probability of;non-evaluative
142;. </s><s> Due to the equal distribution of ranking values intuitively the starting times should be spread evenly over the considered time period. </s><s> In [15] a strategy is proposed to position starting times that is proved to be optimal and applied in;non-evaluative
143;the first, the endpoint by the appearance of the last candidate. </s><s> The trigger condition in the BCSQL corresponds to the considered candidates in the SSP. </s><s> Each candidate is assigned a ranking value in the SSP. </s><s> In the SSP the ranking values are assumed to;non-evaluative
144;change between 2 trigger executions). </s><s> The condition of different ranking values may be guaranteed artificially by considering ranking values that depend on time, i.e. versions appearing later in the sequence are assigned a lower ranking value. </s>;non-evaluative
145;Experiments </s><s> In the following experiments we compare the new BCS query method to the period evaluation (PE) method. </s><s> The considered quality parameters are the freshness of the retrieved information according to eq. </s><s> () and the quality of search;non-evaluative
146;is presented that is based on graded relevance assessments (in contrast to binary relevance assessments usually considered in IR). </s><s> In [20] the functions </s><s> for the graded recall (gr) and the graded precision (gp) are proposed, where denotes the;non-evaluative
147;queries ('oscar' and 'basketball') over a period of 60 days according to the quality definition in (1). </s><s> The reason to consider generated data in the following is to show the basic functionality in principle. </s><s> Real Web data are considered to show;non-evaluative
148;reason to consider generated data in the following is to show the basic functionality in principle. </s><s> Real Web data are considered to show that the presented filtering method based on k-SSP selection may be applied to distributions of relevance;non-evaluative
149;in order to analyze statistical properties of the presented BCS method compared to the PE method. </s><s> The main advantage to consider simulated data is a simple and exactly known distribution of input data which helps to illustrate main properties of;non-evaluative
150;. </s><s> If fresher results are requested when using the PE method obviously a larger number of evaluation periods has to be considered during the query execution time. </s><s> We proportion requested items to the number of evaluation periods. </s><s> If the selected;non-evaluative
151;. </s><s> If the selected candidates are proportioned with an equal likelood to the evaluation periods. </s><s> In the following we consider the tradeoff between retrieval quality and freshness of data. </s><s> Figure: Comparison of PE and BCS strategy: the;non-evaluative
152;the retrieval quality of PE(n) is better than the retrieval quality of the BCS strategy. </s><s> In this experiment and . We consider the mean values of 200 generated sequences. </s><s> Figure (left) shows the development of the graded recall for the PE(n);non-evaluative
153;is increased from 1 to N, the number of versions over time (curve ). </s><s> Due to a constant k ( in def. ()) it is sufficient to consider the graded recall. </s><s> Similar results would have been obtained by considering the graded precision. </s><s> If the number of;non-evaluative
154;to a constant k ( in def. ()) it is sufficient to consider the graded recall. </s><s> Similar results would have been obtained by considering the graded precision. </s><s> If the number of evaluation intervals is N, the retrieval quality of the PE strategy (PE(N)) is;non-evaluative
